"Workout #";"Date";"Workout Name";"Duration (sec)";"Exercise Name";"Set Order";"Weight (kg)";"Reps";"RPE";"Distance (meters)";"Seconds";"Notes";"Workout Notes"
"8";"2025-03-20 18:12:47";"Pull";"3091";"Pull Up";"2";"0.0";"3";"";"";"";"";""
"8";"2025-03-20 18:12:47";"Pull";"3091";"Pull Up";"3";"0.0";"3";"";"";"";"";""
"8";"2025-03-20 18:12:47";"Pull";"3091";"Shrug (Smith Machine)";"1";"70.30676";"10";"";"";"";"";""
"8";"2025-03-20 18:12:47";"Pull";"3091";"Shrug (Smith Machine)";"2";"70.30676";"10";"";"";"";"";""
"8";"2025-03-20 18:12:47";"Pull";"3091";"Shrug (Smith Machine)";"3";"70.30676";"10";"";"";"";"";""
"9";"2025-03-27 19:04:51";"Push";"6058";"Bench Press (Barbell)";"1";"61.23492";"5";"";"";"";"";""
"9";"2025-03-27 19:04:51";"Push";"6058";"Bench Press (Barbell)";"2";"61.23492";"6";"";"";"";"";""
"9";"2025-03-27 19:04:51";"Push";"6058";"Bench Press (Barbell)";"3";"61.23492";"6";"";"";"";"";""
"9";"2025-03-27 19:04:51";"Push";"6058";"Bench Press (Barbell)";"4";"61.23492";"5";"";"";"";"";""
"9";"2025-03-27 19:04:51";"Push";"6058";"Shrug (Smith Machine)";"1";"70.30676";"10";"";"";"";"";""
"9";"2025-03-27 19:04:51";"Push";"6058";"Shrug (Smith Machine)";"2";"70.30676";"10";"";"";"";"";""
"9";"2025-03-27 19:04:51";"Push";"6058";"Shrug (Smith Machine)";"3";"83.91452";"5";"";"";"";"";""
"9";"2025-03-27 19:04:51";"Push";"6058";"Chin Up";"1";"0.0";"5";"";"";"";"";""
"9";"2025-03-27 19:04:51";"Push";"6058";"Chin Up";"2";"0.0";"5";"";"";"";"";""
"9";"2025-03-27 19:04:51";"Push";"6058";"Chin Up";"3";"0.0";"5";"";"";"";"";""
"9";"2025-03-27 19:04:51";"Push";"6058";"Hanging Leg Raise";"1";"0.0";"10";"";"";"";"";""
"9";"2025-03-27 19:04:51";"Push";"6058";"Hanging Leg Raise";"2";"0.0";"10";"";"";"";"";""
"9";"2025-03-27 19:04:51";"Push";"6058";"Hanging Leg Raise";"3";"0.0";"10";"";"";"";"";""
"10";"2025-03-31 17:56:44";"Pull";"1905";"Pull Up";"1";"0.0";"3";"";"";"";"";""
"10";"2025-03-31 17:56:44";"Pull";"1905";"Pull Up";"2";"0.0";"4";"";"";"";"";""
"10";"2025-03-31 17:56:44";"Pull";"1905";"Pull Up";"3";"0.0";"3";"";"";"";"";""
"10";"2025-03-31 17:56:44";"Pull";"1905";"Concentration Curl (Dumbbell)";"1";"11.3398";"8";"";"";"";"";""
"10";"2025-03-31 17:56:44";"Pull";"1905";"Concentration Curl (Dumbbell)";"2";"11.3398";"8";"";"";"";"";""
"10";"2025-03-31 17:56:44";"Pull";"1905";"Concentration Curl (Dumbbell)";"3";"11.3398";"8";"";"";"";"";""
"10";"2025-03-31 17:56:44";"Pull";"1905";"Lat Pulldown (Machine)";"1";"61.688512";"9";"";"";"";"";""
"10";"2025-03-31 17:56:44";"Pull";"1905";"Lat Pulldown (Machine)";"2";"61.688512";"8";"";"";"";"";""
"10";"2025-03-31 17:56:44";"Pull";"1905";"Lat Pulldown (Machine)";"3";"61.688512";"8";"";"";"";"";""
"10";"2025-03-31 17:56:44";"Pull";"1905";"Iso-Lateral Row (Machine)";"1";"27.215519999999998";"8";"";"";"";"";""
"10";"2025-03-31 17:56:44";"Pull";"1905";"Iso-Lateral Row (Machine)";"2";"27.215519999999998";"8";"";"";"";"";""
"10";"2025-03-31 17:56:44";"Pull";"1905";"Iso-Lateral Row (Machine)";"3";"27.215519999999998";"8";"";"";"";"";""
"11";"2025-04-01 19:04:23";"Push";"3722";"Incline Bench Press (Barbell)";"1";"43.09124";"10";"";"";"";"";""
"11";"2025-04-01 19:04:23";"Push";"3722";"Incline Bench Press (Barbell)";"2";"43.09124";"9";"";"";"";"";""
"11";"2025-04-01 19:04:23";"Push";"3722";"Incline Bench Press (Barbell)";"3";"43.09124";"9";"";"";"";"";""
"11";"2025-04-01 19:04:23";"Push";"3722";"Incline Bench Press (Barbell)";"4";"43.09124";"9";"";"";"";"";""
"11";"2025-04-01 19:04:23";"Push";"3722";"Triceps Pushdown (Cable - Straight Bar)";"1";"63.50288";"6";"";"";"";"";""
"11";"2025-04-01 19:04:23";"Push";"3722";"Triceps Pushdown (Cable - Straight Bar)";"2";"63.50288";"6";"";"";"";"";""
"11";"2025-04-01 19:04:23";"Push";"3722";"Triceps Pushdown (Cable - Straight Bar)";"3";"63.50288";"6";"";"";"";"";""
"11";"2025-04-01 19:04:23";"Push";"3722";"Triceps Pushdown (Cable - Straight Bar)";"4";"63.50288";"6";"";"";"";"";""
"11";"2025-04-01 19:04:23";"Push";"3722";"Chest Fly (Dumbbell)";"1";"10.20582";"8";"";"";"";"";""
"11";"2025-04-01 19:04:23";"Push";"3722";"Chest Fly (Dumbbell)";"2";"10.20582";"8";"";"";"";"";""
"11";"2025-04-01 19:04:23";"Push";"3722";"Chest Fly (Dumbbell)";"3";"10.20582";"8";"";"";"";"";""
"11";"2025-04-01 19:04:23";"Push";"3722";"Hanging Leg Raise";"1";"0.0";"11";"";"";"";"";""
"11";"2025-04-01 19:04:23";"Push";"3722";"Hanging Leg Raise";"2";"0.0";"10";"";"";"";"";""
"11";"2025-04-01 19:04:23";"Push";"3722";"Hanging Leg Raise";"3";"0.0";"10";"";"";"";"";""
"12";"2025-04-02 19:02:29";"Pull";"3325";"Bicep Curl (Barbell)";"1";"27.215519999999998";"9";"";"";"";"";""
"12";"2025-04-02 19:02:29";"Pull";"3325";"Bicep Curl (Barbell)";"2";"27.215519999999998";"8";"";"";"";"";""
"12";"2025-04-02 19:02:29";"Pull";"3325";"Bicep Curl (Barbell)";"3";"27.215519999999998";"8";"";"";"";"";""
"12";"2025-04-02 19:02:29";"Pull";"3325";"Bicep Curl (Barbell)";"4";"27.215519999999998";"8";"";"";"";"";""
"12";"2025-04-02 19:02:29";"Pull";"3325";"Lat Pulldown (Machine)";"1";"61.688512";"9";"";"";"";"";""
"12";"2025-04-02 19:02:29";"Pull";"3325";"Lat Pulldown (Machine)";"2";"61.688512";"9";"";"";"";"";""
"12";"2025-04-02 19:02:29";"Pull";"3325";"Lat Pulldown (Machine)";"3";"61.688512";"8";"";"";"";"";""
"12";"2025-04-02 19:02:29";"Pull";"3325";"Iso-Lateral Row (Machine)";"1";"27.215519999999998";"9";"";"";"";"";""
"12";"2025-04-02 19:02:29";"Pull";"3325";"Iso-Lateral Row (Machine)";"2";"27.215519999999998";"8";"";"";"";"";""
"12";"2025-04-02 19:02:29";"Pull";"3325";"Iso-Lateral Row (Machine)";"3";"27.215519999999998";"8";"";"";"";"";""
"12";"2025-04-02 19:02:29";"Pull";"3325";"Hanging Leg Raise";"1";"0.0";"11";"";"";"";"";""
"12";"2025-04-02 19:02:29";"Pull";"3325";"Hanging Leg Raise";"2";"0.0";"10";"";"";"";"";""
"12";"2025-04-02 19:02:29";"Pull";"3325";"Hanging Leg Raise";"3";"0.0";"10";"";"";"";"";""
"13";"2025-04-03 19:05:18";"Push";"4374";"Bench Press (Barbell)";"1";"61.23492";"6";"";"";"";"";""
"13";"2025-04-03 19:05:18";"Push";"4374";"Bench Press (Barbell)";"2";"61.23492";"6";"";"";"";"";""
"13";"2025-04-03 19:05:18";"Push";"4374";"Bench Press (Barbell)";"3";"61.23492";"6";"";"";"";"";""
"13";"2025-04-03 19:05:18";"Push";"4374";"Bench Press (Barbell)";"4";"61.23492";"6";"";"";"";"";""
"13";"2025-04-03 19:05:18";"Push";"4374";"Triceps Pushdown (Cable - Straight Bar)";"1";"63.50288";"7";"";"";"";"";""
"13";"2025-04-03 19:05:18";"Push";"4374";"Triceps Pushdown (Cable - Straight Bar)";"2";"63.50288";"6";"";"";"";"";""
"13";"2025-04-03 19:05:18";"Push";"4374";"Triceps Pushdown (Cable - Straight Bar)";"3";"63.50288";"6";"";"";"";"";""
"13";"2025-04-03 19:05:18";"Push";"4374";"Triceps Pushdown (Cable - Straight Bar)";"4";"63.50288";"6";"";"";"";"";""
"13";"2025-04-03 19:05:18";"Push";"4374";"Chin Up";"1";"0.0";"5";"";"";"";"";""
"13";"2025-04-03 19:05:18";"Push";"4374";"Chin Up";"2";"0.0";"5";"";"";"";"";""
"13";"2025-04-03 19:05:18";"Push";"4374";"Chin Up";"3";"0.0";"5";"";"";"";"";""
"13";"2025-04-03 19:05:18";"Push";"4374";"Shoulder Press (Plate Loaded)";"1";"20.41164";"10";"";"";"";"";""
"13";"2025-04-03 19:05:18";"Push";"4374";"Shoulder Press (Plate Loaded)";"2";"20.41164";"10";"";"";"";"";""
"13";"2025-04-03 19:05:18";"Push";"4374";"Shoulder Press (Plate Loaded)";"3";"20.41164";"10";"";"";"";"";""
"14";"2025-04-07 19:03:50";"Push";"5961";"Incline Bench Press (Barbell)";"1";"43.09124";"10";"";"";"";"";""
"14";"2025-04-07 19:03:50";"Push";"5961";"Incline Bench Press (Barbell)";"2";"43.09124";"10";"";"";"";"";""
"14";"2025-04-07 19:03:50";"Push";"5961";"Incline Bench Press (Barbell)";"3";"43.09124";"9";"";"";"";"";""
"14";"2025-04-07 19:03:50";"Push";"5961";"Incline Bench Press (Barbell)";"4";"43.09124";"9";"";"";"";"";""
"14";"2025-04-07 19:03:50";"Push";"5961";"Triceps Pushdown (Cable - Straight Bar)";"1";"63.50288";"7";"";"";"";"";""
"14";"2025-04-07 19:03:50";"Push";"5961";"Triceps Pushdown (Cable - Straight Bar)";"2";"63.50288";"7";"";"";"";"";""
"14";"2025-04-07 19:03:50";"Push";"5961";"Triceps Pushdown (Cable - Straight Bar)";"3";"63.50288";"6";"";"";"";"";""
"14";"2025-04-07 19:03:50";"Push";"5961";"Triceps Pushdown (Cable - Straight Bar)";"4";"63.50288";"6";"";"";"";"";""
"14";"2025-04-07 19:03:50";"Push";"5961";"Shoulder Press (Plate Loaded)";"1";"20.41164";"11";"";"";"";"";""
"14";"2025-04-07 19:03:50";"Push";"5961";"Shoulder Press (Plate Loaded)";"2";"20.41164";"10";"";"";"";"";""
"14";"2025-04-07 19:03:50";"Push";"5961";"Shoulder Press (Plate Loaded)";"3";"20.41164";"10";"";"";"";"";""
"14";"2025-04-07 19:03:50";"Push";"5961";"Shrug (Smith Machine)";"1";"83.91452";"5";"";"";"";"";""
"14";"2025-04-07 19:03:50";"Push";"5961";"Shrug (Smith Machine)";"2";"83.91452";"5";"";"";"";"";""
"14";"2025-04-07 19:03:50";"Push";"5961";"Shrug (Smith Machine)";"3";"83.91452";"5";"";"";"";"";""
"15";"2025-04-08 19:17:30";"Pull";"4453";"Concentration Curl (Dumbbell)";"1";"11.3398";"9";"";"";"";"";""
"15";"2025-04-08 19:17:30";"Pull";"4453";"Concentration Curl (Dumbbell)";"2";"11.3398";"8";"";"";"";"";""
"15";"2025-04-08 19:17:30";"Pull";"4453";"Concentration Curl (Dumbbell)";"3";"11.3398";"9";"";"";"";"";""
"15";"2025-04-08 19:17:30";"Pull";"4453";"Pull Up";"1";"0.0";"4";"";"";"";"";""
"15";"2025-04-08 19:17:30";"Pull";"4453";"Pull Up";"2";"0.0";"4";"";"";"";"";""
"15";"2025-04-08 19:17:30";"Pull";"4453";"Pull Up";"3";"0.0";"3";"";"";"";"";""
"15";"2025-04-08 19:17:30";"Pull";"4453";"Iso-Lateral Row (Machine)";"1";"27.215519999999998";"10";"";"";"";"";""
"15";"2025-04-08 19:17:30";"Pull";"4453";"Iso-Lateral Row (Machine)";"2";"27.215519999999998";"8";"";"";"";"";""
"15";"2025-04-08 19:17:30";"Pull";"4453";"Iso-Lateral Row (Machine)";"3";"27.215519999999998";"8";"";"";"";"";""
"15";"2025-04-08 19:17:30";"Pull";"4453";"Reverse Curl (Dumbbell)";"1";"6.8038799999999995";"15";"";"";"";"";""
"15";"2025-04-08 19:17:30";"Pull";"4453";"Reverse Curl (Dumbbell)";"2";"6.8038799999999995";"15";"";"";"";"";""
"15";"2025-04-08 19:17:30";"Pull";"4453";"Reverse Curl (Dumbbell)";"3";"6.8038799999999995";"15";"";"";"";"";""
"15";"2025-04-08 19:17:30";"Pull";"4453";"Lat Pulldown (Machine)";"1";"61.688512";"9";"";"";"";"";""
"15";"2025-04-08 19:17:30";"Pull";"4453";"Lat Pulldown (Machine)";"2";"61.688512";"9";"";"";"";"";""
"15";"2025-04-08 19:17:30";"Pull";"4453";"Lat Pulldown (Machine)";"3";"61.688512";"9";"";"";"";"";""
"16";"2025-04-09 19:15:18";"Push";"3085";"Bench Press (Barbell)";"1";"61.23492";"6";"";"";"";"";""
"16";"2025-04-09 19:15:18";"Push";"3085";"Bench Press (Barbell)";"2";"61.23492";"6";"";"";"";"";""
"16";"2025-04-09 19:15:18";"Push";"3085";"Bench Press (Barbell)";"3";"61.23492";"6";"";"";"";"";""
"16";"2025-04-09 19:15:18";"Push";"3085";"Bench Press (Barbell)";"4";"61.23492";"6";"";"";"";"";""
"16";"2025-04-09 19:15:18";"Push";"3085";"Shoulder Press (Plate Loaded)";"1";"20.41164";"10";"";"";"";"";""
"16";"2025-04-09 19:15:18";"Push";"3085";"Shoulder Press (Plate Loaded)";"2";"20.41164";"11";"";"";"";"";""
"16";"2025-04-09 19:15:18";"Push";"3085";"Shoulder Press (Plate Loaded)";"3";"20.41164";"10";"";"";"";"";""
"16";"2025-04-09 19:15:18";"Push";"3085";"Chin Up";"1";"0.0";"5";"";"";"";"";""
"16";"2025-04-09 19:15:18";"Push";"3085";"Chin Up";"2";"0.0";"5";"";"";"";"";""
"16";"2025-04-09 19:15:18";"Push";"3085";"Chin Up";"3";"0.0";"3";"";"";"";"";""
"17";"2025-04-14 18:55:43";"Pull";"2396";"Concentration Curl (Dumbbell)";"1";"11.3398";"9";"";"";"";"";""
"17";"2025-04-14 18:55:43";"Pull";"2396";"Concentration Curl (Dumbbell)";"2";"11.3398";"10";"";"";"";"";""
"17";"2025-04-14 18:55:43";"Pull";"2396";"Concentration Curl (Dumbbell)";"3";"11.3398";"9";"";"";"";"";""
"17";"2025-04-14 18:55:43";"Pull";"2396";"Pull Up";"1";"0.0";"4";"";"";"";"";""
"17";"2025-04-14 18:55:43";"Pull";"2396";"Pull Up";"2";"0.0";"2";"";"";"";"";""
"17";"2025-04-14 18:55:43";"Pull";"2396";"Pull Up";"3";"0.0";"2";"";"";"";"";""
"17";"2025-04-14 18:55:43";"Pull";"2396";"Lat Pulldown (Machine)";"1";"61.688512";"9";"";"";"";"";""
"17";"2025-04-14 18:55:43";"Pull";"2396";"Lat Pulldown (Machine)";"2";"61.688512";"5";"";"";"";"";""
"17";"2025-04-14 18:55:43";"Pull";"2396";"Lat Pulldown (Machine)";"3";"61.688512";"5";"";"";"";"";""
"17";"2025-04-14 18:55:43";"Pull";"2396";"Reverse Curl (Dumbbell)";"1";"9.07184";"8";"";"";"";"";""
"17";"2025-04-14 18:55:43";"Pull";"2396";"Reverse Curl (Dumbbell)";"2";"9.07184";"8";"";"";"";"";""
"17";"2025-04-14 18:55:43";"Pull";"2396";"Reverse Curl (Dumbbell)";"3";"9.07184";"8";"";"";"";"";""
